panel,concept,estimand,point,lower_95,upper_95
native,MACRO,total_evasion,0.4862057427611118,0.46227030178807166,0.5093842608861848
native,HTML,total_evasion,0.373492431640625,0.2860350036621094,0.4605725097656249
native,all-caps,total_evasion,0.51744384765625,0.4648919677734375,0.56260986328125
native,biology-focused,total_evasion,0.4337646484375,0.3470693969726562,0.5191897583007812
native,chemistry-based,total_evasion,0.53690185546875,0.4831655883789062,0.5862435913085937
native,comforting,total_evasion,0.4806738138198853,0.3684059853479266,0.5953896404802796
native,confused,total_evasion,0.5571014404296875,0.5155821990966797,0.5965914154052734
native,finnish,total_evasion,0.589508056640625,0.5467884826660157,0.6301698303222657
native,german,total_evasion,0.5866866827011108,0.526316704750061,0.6456882381439208
native,jokey,total_evasion,0.33870697021484375,0.2667829513549805,0.41184726715087877
native,literature-focused,total_evasion,0.660299897461664,0.5312291276769248,0.7783319306516201
native,mathematical,total_evasion,0.2736835259012878,0.19140768850222228,0.35933376020519053
native,MACRO,K12_recovery,0.3374078149423109,0.3192744769067212,0.35574996118634844
native,HTML,K12_recovery,0.3795654296875,0.29718017578125,0.46102386474609364
native,all-caps,K12_recovery,0.27259521484375,0.24422515869140626,0.2972171020507812
native,biology-focused,K12_recovery,0.33441162109375,0.2516351318359375,0.41956878662109365
native,chemistry-based,K12_recovery,0.46898193359375,0.41997039794921875,0.515087890625
native,comforting,K12_recovery,0.5089300394058227,0.4020449070073664,0.6137181205302473
native,confused,K12_recovery,0.3949920654296875,0.35558464050292965,0.4348216247558593
native,finnish,K12_recovery,0.483721923828125,0.43652908325195316,0.5287782287597657
native,german,K12_recovery,0.40336148738861083,0.3506286019086838,0.45634686589241025
native,jokey,K12_recovery,0.21503067016601562,0.1702452278137207,0.2597773933410644
native,literature-focused,K12_recovery,0.10377107926469761,0.07302435313657042,0.13597963457585138
native,mathematical,K12_recovery,0.1461244996637106,0.09387385986745359,0.20352265574969353
native,MACRO,K12_induction,0.3924346712925894,0.3712597937055398,0.41327251114977775
native,HTML,K12_induction,0.3545654296875,0.2786489868164062,0.43000549316406245
native,all-caps,K12_induction,0.0759033203125,0.0629150390625,0.0899658203125
native,biology-focused,K12_induction,0.41341552734375,0.3388671875,0.4863525390625
native,chemistry-based,K12_induction,0.41585693359375,0.3714715576171875,0.4584484863281249
native,comforting,K12_induction,0.46786548271775247,0.3583906121365726,0.5770878424495459
native,confused,K12_induction,0.423004150390625,0.3969725036621094,0.4481631469726562
native,finnish,K12_induction,0.4967376708984375,0.4555841827392578,0.536664810180664
native,german,K12_induction,0.5404902935028076,0.4880070662498474,0.5928141975402832
native,jokey,K12_induction,0.2150279998779297,0.17067044258117678,0.25910780906677244
native,literature-focused,K12_induction,0.6589263810776174,0.5324919681961183,0.7793736707745118
native,mathematical,K12_induction,0.2549881948158145,0.17845043775159866,0.33325787011999636
broad,MACRO,total_evasion,0.45553771810690785,0.4487279407018584,0.4624721670451849
broad,HTML,total_evasion,0.25539398193359375,0.2437286376953125,0.26700592041015625
broad,all-caps,total_evasion,0.546051025390625,0.533782958984375,0.5576171875
broad,biology-focused,total_evasion,0.3294677734375,0.30143327713012696,0.3579139709472656
