scope,concept,candidate_id,candidate_role,direction,fraction,ci_low,ci_high,patched_mean,positive_example_fraction
,,layer_12.head_02,selected,rescue,0.05583947816580336,0.05242418583830508,0.05939198032772774,0.35514137241989374,1.0
,,layer_12.head_02,selected,induction,0.008773890714732193,0.007124709105193424,0.010564526703899978,0.9478038242086768,1.0
,,layer_12.head_03,selected,rescue,0.08625136007472699,0.08175409968693644,0.09069436686110635,0.3744103889912367,1.0
,,layer_12.head_03,selected,induction,0.020945536365230638,0.01723479702716698,0.025013234339587277,0.9400918502360582,1.0
,,layer_12.head_05,random_control,rescue,0.003146159932714611,0.0018985077594207804,0.004369133932565135,0.3217548024840653,0.75
,,layer_12.head_05,random_control,induction,-0.0002162409194507628,-0.0004241441179708511,-1.988556464320312e-05,0.953499985858798,0.453125
,,layer_12.head_11,random_control,rescue,0.0215430445944697,0.018990480684594618,0.024077303540491986,0.33341109775938094,0.96875
,,layer_12.head_11,random_control,induction,0.00129241850401699,0.0008490058252425642,0.001753061390998663,0.9525440968573093,0.796875
,,layer_12.head_12,selected,rescue,0.10566326143576439,0.10048339850430019,0.11122078830408016,0.38670980045571923,1.0
,,layer_12.head_12,selected,induction,0.023085184363402806,0.018895054873188905,0.0275666669723034,0.9387361658737063,1.0
,,layer_12.head_15,random_control,rescue,0.002880480842288911,0.0016907082889145344,0.004066348531913316,0.3215864677913487,0.671875
,,layer_12.head_15,random_control,induction,-0.00017918213469069486,-0.00040053888568417463,4.9670404800466934e-05,0.9534765053540468,0.28125
,,layer_12.mlp,selected,rescue,0.16153579845700733,0.14016325069530833,0.18281087813925517,0.4221107284538448,0.953125
,,layer_12.mlp,selected,induction,-0.01353370591887952,-0.019815994321697023,-0.00791768652430954,0.961937952786684,0.375
,,layer_11.head_00,random_control,rescue,0.00047790133949989535,0.00023700692250290604,0.0007225980814143493,0.3200641896110028,0.6875
,,layer_11.head_00,random_control,induction,-0.00021578819433152983,-0.00032345210726608616,-0.00011734839061228061,0.953499699011445,0.1875
,,layer_11.head_02,random_control,rescue,-0.00023876289171753854,-0.0006214931510288504,0.00012110792166524489,0.31961011001840234,0.484375
,,layer_11.head_02,random_control,induction,-0.0002909582027652072,-0.0004182082944287278,-0.00017267872875418601,0.9535473268479109,0.21875
,,layer_11.head_03,random_control,rescue,0.010483128679378026,0.009252368993495885,0.011701019476178532,0.3264035175088793,1.0
,,layer_11.head_03,random_control,induction,0.0008633027057746965,0.0006545228033723066,0.0011083251269299941,0.9528159853070974,0.96875
,,layer_11.head_05,random_control,rescue,-0.018322975816153563,-0.019318510276396604,-0.017323331811270604,0.3081519240513444,0.0
,,layer_11.head_05,random_control,induction,-0.005568144145443736,-0.006796320933398356,-0.004403824024548315,0.9568909602239728,0.0
,,layer_11.head_06,random_control,rescue,-0.002192204166417146,-0.0028435926331892296,-0.0016136310650578104,0.3183724065311253,0.125
,,layer_11.head_06,random_control,induction,-0.000487964184195573,-0.0008039847364817553,-0.00020715433341507718,0.9536721501499414,0.203125
,,layer_11.head_08,selected,rescue,0.41492401998291195,0.4031016657600608,0.42632863690297057,0.5826579071581364,1.0
,,layer_11.head_08,selected,induction,0.1266877016892473,0.10789833470060169,0.14602131965469262,0.8730934467166662,1.0
,,layer_11.head_09,selected,rescue,0.19308590627990685,0.18364489454395905,0.2027019519546801,0.4421009267680347,1.0
,,layer_11.head_09,selected,induction,0.04434533969842558,0.036643901948217504,0.052532086515465364,0.9252656977623701,1.0
,,layer_11.head_14,selected,rescue,0.13640954331542846,0.13008168631009845,0.1428148750153766,0.4061906933784485,1.0
,,layer_11.head_14,selected,induction,0.01870928593991202,0.01502302533212807,0.022753604421609487,0.9415087420493364,1.0
,,layer_11.head_15,selected,rescue,-0.020794597369512353,-0.024879876533857523,-0.01693382173750647,0.30658590071834624,0.0625
